HomeTeam,AwayTeam,FTHG,FTAG,Referee,HF,AF,HY,AY,HR,AR
Partick,Dundee United,0,0,C Thomson,3,6,3,1,0,0
Aberdeen,Kilmarnock,2,1,J Beaton,9,4,1,2,0,0
Celtic,Ross County,2,1,W Collum,7,16,0,1,0,0
Inverness C,St Mirren,3,0,K Clancy,8,8,1,3,0,0
Hibernian,Motherwell,0,1,B Madden,9,10,1,2,0,0
St Johnstone,Hearts,1,0,S McLean,16,15,1,1,0,0
Dundee United,Inverness C,0,1,S McLean,11,9,2,3,0,0
Ross County,Partick,1,3,A Muir,8,7,1,0,0,0
Hearts,Hibernian,1,0,C Thomson,20,16,4,4,0,0
Kilmarnock,St Johnstone,0,0,W Collum,12,15,1,0,0,0
Motherwell,Aberdeen,1,3,K Clancy,16,15,5,2,0,0
Partick,Hearts,1,1,B Madden,10,10,1,1,0,0
Aberdeen,Celtic,0,2,C Murray,8,9,2,3,1,0
Hibernian,Dundee United,1,1,C Allan,13,11,3,2,1,1
Inverness C,Motherwell,2,0,I Brines,9,9,2,1,0,0
St Johnstone,Ross County,4,0,B Colvin,9,19,0,4,0,0
St Mirren,Kilmarnock,1,1,J Beaton,11,12,1,0,0,1
Celtic,Inverness C,2,2,C Thomson,9,8,1,1,0,0
Dundee United,St Johnstone,4,0,B Madden,12,8,2,2,0,0
Hearts,Aberdeen,2,1,A Muir,13,15,1,2,1,0
Kilmarnock,Hibernian,1,2,K Clancy,7,7,1,2,0,0
Motherwell,Partick,1,0,E Norris,11,7,3,3,0,0
Ross County,St Mirren,3,0,C Murray,18,8,1,1,0,0
Aberdeen,St Johnstone,0,0,S McLean,14,9,1,2,0,0
Dundee United,Celtic,0,1,C Allan,11,12,1,1,0,0
Hibernian,Ross County,0,0,I Brines,9,15,0,3,0,0
Inverness C,Hearts,2,0,J Beaton,13,11,1,1,0,1
Motherwell,Kilmarnock,2,1,C Charleston,13,11,2,2,1,0
St Mirren,Partick,1,2,W Collum,8,8,0,0,0,0
Hearts,Celtic,1,3,W Collum,9,13,2,3,0,0
Kilmarnock,Inverness C,1,2,S McLean,9,14,1,1,0,0
Partick,Aberdeen,0,3,J Beaton,3,10,1,2,0,0
St Johnstone,Hibernian,1,2,B Madden,18,9,3,3,0,0
St Mirren,Motherwell,0,1,C Thomson,7,12,2,1,0,0
Ross County,Dundee United,2,4,B Colvin,9,8,1,0,0,0
Aberdeen,Inverness C,1,0,C Thomson,18,15,4,3,0,0
Celtic,St Johnstone,2,1,A Muir,5,8,1,3,0,0
Hibernian,St Mirren,2,0,S McLean,12,11,2,0,0,0
Partick,Kilmarnock,1,1,B Madden,7,9,3,4,0,0
Ross County,Hearts,2,1,E Norris,14,12,2,2,0,0
Dundee United,Motherwell,2,2,K Clancy,14,17,2,3,0,0
Hearts,Dundee United,0,0,S McLean,5,13,0,1,0,0
Inverness C,Hibernian,3,0,W Collum,10,11,2,0,0,0
Kilmarnock,Celtic,2,5,J Beaton,11,6,1,2,0,0
Motherwell,Ross County,3,1,B Madden,9,18,0,0,0,0
St Johnstone,Partick,1,1,C Thomson,8,6,1,0,0,0
St Mirren,Aberdeen,1,1,C Murray,14,14,1,1,0,0
Celtic,Motherwell,2,0,I Brines,8,7,1,0,0,0
Dundee United,Kilmarnock,1,0,W Collum,13,15,1,4,0,0
Hearts,St Mirren,0,2,C Thomson,15,13,2,2,0,0
Ross County,Aberdeen,1,0,C Allan,12,14,4,4,0,0
St Johnstone,Inverness C,4,0,S McLean,10,11,1,2,0,0
