Aberdeen
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Inverness C2,12,12,1,2,0,0
Inverness C,18,15,4,3,0,0
Celtic,8,9,2,3,1,0
Dundee United,15,18,4,0,0,0
Dundee United2,10,13,1,1,0,0
Kilmarnock,9,4,1,2,0,0
Kilmarnock2,7,12,0,0,0,0
Motherwell2,9,17,1,1,0,0
St Johnstone,14,9,1,2,0,0
Ross County,6,12,0,1,0,0
Celtic2,13,13,2,2,0,1
Motherwell,7,14,2,3,0,0
St Mirren,14,8,1,0,0,0
St Johnstone2,14,16,1,3,0,0
Hearts,17,7,2,2,1,0
Partick,12,10,1,3,0,0
Hibernian,13,10,1,2,0,0
""
Celtic
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Inverness C2,8,10,0,1,0,0
Inverness C,9,8,1,1,0,0
Motherwell2,9,10,2,2,1,0
Dundee United,7,5,0,2,0,0
Dundee United2,10,14,1,1,0,0
Aberdeen2,9,14,1,0,0,0
Kilmarnock,4,9,1,2,0,0
St Mirren2,8,6,2,0,0,0
St Johnstone,5,8,1,3,0,0
Ross County,7,16,0,1,0,0
Motherwell,8,7,1,0,0,0
St Mirren,10,6,0,0,0,0
St Johnstone2,6,9,0,1,0,0
Partick,5,9,1,1,0,0
Hearts,4,12,0,4,0,0
Hibernian,7,12,2,0,0,0
Aberdeen,5,1,1,0,0,0
Ross County2,16,9,1,2,0,0
""
Dundee United
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Inverness C2,10,8,1,3,0,0
Inverness C,11,9,2,3,0,0
Celtic,11,12,1,1,0,0
Motherwell,14,17,2,3,0,0
Aberdeen2,12,10,1,2,0,0
Kilmarnock,13,15,1,4,0,0
Kilmarnock2,8,13,1,1,0,0
St Mirren2,6,9,1,1,0,0
Motherwell2,9,19,0,3,0,0
St Johnstone,12,8,2,2,0,0
Ross County,9,6,0,1,0,0
Celtic2,14,8,3,2,0,0
St Mirren,8,8,0,0,0,0
St Johnstone2,17,17,2,4,0,0
Hearts,8,16,2,3,0,0
Partick,8,11,4,3,0,2
Hibernian,8,8,1,1,0,0
Aberdeen,20,7,2,2,0,0
""
Hearts
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Partick2,8,11,2,2,0,0
Inverness C,16,19,1,4,0,0
Celtic,9,13,2,3,0,0
Dundee United,5,13,0,1,0,0
Aberdeen2,18,16,2,3,1,0
Kilmarnock,17,14,4,2,0,0
Hibernian2,11,10,1,1,0,1
St Mirren2,12,16,1,3,0,1
St Johnstone,6,11,0,0,0,0
Ross County,8,15,0,4,0,1
Motherwell,11,16,0,1,0,0
Kilmarnock2,12,10,0,1,0,0
St Mirren,15,13,2,2,0,0
Dundee United2,6,16,0,0,0,0
Celtic2,15,16,3,2,0,0
Partick,10,12,0,0,0,1
Hibernian,20,16,4,4,0,0
Aberdeen,13,15,1,2,1,0
Ross County2,3,3,1,3,1,0
""
Hibs
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Partick2,14,12,1,1,1,0
Inverness C,22,12,2,0,0,0
Celtic,14,10,2,0,0,0
Dundee United,13,11,3,2,1,1
Aberdeen2,7,10,0,0,0,0
Hearts2,20,14,3,1,0,0
Kilmarnock,13,10,1,0,0,0
Kilmarnock2,8,15,1,1,0,0
St Mirren2,16,10,1,2,0,0
Motherwell2,11,4,0,0,0,0
St Johnstone,15,14,4,1,0,1
Ross County,9,15,0,3,0,0
Celtic2,14,10,3,0,0,0
Motherwell,9,10,1,2,0,0
St Mirren,12,11,2,0,0,0
Dundee United2,18,10,3,3,1,0
Hearts,10,19,1,4,0,0
Partick,11,14,3,2,0,0
Ross County2,13,10,0,1,0,0
Aberdeen,8,11,1,1,0,0
""
Inverness
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Partick2,9,10,3,1,0,0
Celtic,16,13,2,2,0,0
Motherwell,9,9,2,1,0,0
St Johnstone2,7,7,1,1,0,0
Aberdeen2,13,11,0,0,0,0
Hearts2,15,12,1,2,0,0
Kilmarnock,14,11,1,0,0,0
Hibernian2,13,16,2,2,0,0
St Mirren2,15,15,0,1,1,0
Motherwell2,12,13,0,2,0,0
Hibernian,10,11,2,0,0,0
Ross County,9,14,1,4,1,0
Dundee United,12,13,1,0,0,0
St Mirren,8,8,1,3,0,0
Dundee United2,13,11,0,0,0,0
Partick,14,15,2,4,0,0
Hearts,13,11,1,1,0,1
St Johnstone,11,13,1,3,0,0
Aberdeen,9,8,2,0,0,0
""
Kilmarnock
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Inverness C2,14,8,0,0,0,0
Inverness C,9,14,1,1,0,0
Celtic,11,6,1,2,0,0
Motherwell,12,10,2,2,0,0
Hearts2,17,11,3,2,0,0
Hibernian2,7,5,1,2,0,0
St Mirren2,19,14,3,1,1,0
Hibernian,7,7,1,2,0,0
Ross County,9,11,1,2,0,0
Celtic2,8,6,1,0,0,0
Dundee United,6,1,3,0,1,0
Partick2,11,8,2,2,0,0
St Mirren,12,13,0,1,0,0
St Johnstone2,12,8,2,1,0,0
Partick,10,12,0,2,0,0
Hearts,11,12,3,3,0,0
St Johnstone,12,15,1,0,0,0
Aberdeen,14,18,4,2,0,1
Ross County2,8,7,1,0,0,1
""
Motherwell
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Partick2,12,10,3,2,0,0
Inverness C,9,10,1,1,0,0
Celtic,13,8,2,1,0,0
Dundee United,9,4,2,0,0,0
Inverness C2,8,16,1,1,0,0
Aberdeen2,14,10,3,1,0,0
Hearts2,17,14,1,3,0,0
Kilmarnock,13,11,2,2,1,0
Kilmarnock2,11,15,1,1,0,0
Hibernian,11,15,2,2,1,0
Ross County,9,18,0,0,0,0
Celtic2,8,10,0,1,0,0
St Mirren,8,9,1,2,0,0
St Johnstone2,19,16,1,3,0,0
Hearts,9,7,0,0,0,0
Partick,11,7,3,3,0,0
St Johnstone,9,5,1,1,0,0
Aberdeen,16,15,5,2,0,0
Ross County2,4,5,2,1,0,0
""
Partick
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Inverness C,7,12,1,2,0,0
Celtic,12,8,1,2,0,0
Dundee United,3,6,3,1,0,0
Aberdeen2,13,7,4,0,0,0
Hearts2,17,13,1,2,0,0
Kilmarnock,7,9,3,4,0,0
Kilmarnock2,10,9,1,2,1,0
St Mirren2,12,9,2,1,0,0
Hibernian,14,11,1,1,0,0
Ross County,12,14,3,1,0,1
Motherwell,11,12,2,1,0,0
St Mirren,10,13,0,2,1,0
Dundee United2,7,9,3,1,0,0
Celtic2,6,6,0,2,0,0
Hearts,10,10,1,1,0,0
St Johnstone,8,9,2,4,0,0
Aberdeen,3,10,1,2,0,0
Hibernian2,9,10,1,0,0,0
Ross County2,7,6,2,2,0,0
""
Ross C
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Partick2,11,14,2,4,0,0
Inverness C,12,11,0,1,0,0
Celtic,15,10,4,1,0,0
Dundee United,9,8,1,0,0,0
Inverness C2,12,12,1,3,0,0
Aberdeen2,9,11,0,1,0,1
Hearts2,6,11,3,3,0,0
Kilmarnock,7,9,0,0,0,0
Hibernian2,12,10,2,1,0,0
St Mirren2,11,15,1,0,0,0
Hibernian,13,11,3,1,0,0
Kilmarnock2,9,17,3,2,0,0
Motherwell,8,13,0,4,0,0
St Mirren,18,8,1,1,0,0
Dundee United2,13,19,2,5,0,0
Hearts,14,12,2,2,0,0
Partick,8,7,1,0,0,0
St Johnstone,13,14,1,1,0,0
Aberdeen,12,14,4,4,0,0
""
St Johnstone
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Inverness C2,18,14,3,2,0,0
Inverness C,10,11,1,2,0,0
Celtic,19,4,3,1,0,0
Motherwell,6,14,1,2,0,0
Hearts2,8,11,1,3,2,1
Kilmarnock,12,19,0,0,0,2
Hibernian2,10,10,0,3,0,1
Motherwell2,17,14,2,0,0,0
Hibernian,18,9,3,3,0,0
Ross County,9,19,0,4,0,0
Celtic2,9,13,0,1,0,0
Dundee United,15,15,1,4,0,1
Partick2,15,13,1,4,0,0
St Mirren,14,15,2,2,0,0
Dundee United2,13,14,1,0,0,0
Partick,8,6,1,0,0,0
Hearts,16,15,1,1,0,0
Ross County2,15,12,2,1,0,0
Aberdeen,6,15,0,1,1,0
""
St Mirren
ATeam,FoulsH,FoulsA,YellowsH,YellowsA,RedsH,RedsA
Partick2,7,8,2,1,0,0
Inverness C,9,12,1,2,0,0
Celtic,7,10,1,3,0,0
Motherwell,7,12,2,1,0,0
Aberdeen2,11,10,2,1,0,0
Hearts2,16,11,2,2,0,0
Kilmarnock,11,12,1,0,0,1
Kilmarnock2,2,8,1,1,0,0
Motherwell2,10,12,1,0,0,0
St Johnstone,10,12,2,2,0,1
Ross County,15,20,2,2,0,2
Dundee United,10,8,4,1,0,1
St Johnstone2,13,6,2,2,0,0
Hearts,9,18,0,5,0,0
Partick,8,8,0,0,0,0
Hibernian,3,11,0,2,0,0
Aberdeen,14,14,1,1,0,0
Hibernian2,13,19,1,3,1,0
Ross County2,10,11,0,1,0,0
